STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4
A2R001Q01,90240,25/10/2000,8.115,35.423,1.762,0.024,0.243,0.5433,0.0135
A2R001Q01,90240,25/10/2000,8.092,35.166,1.841,0.037,0.416,0.5326,0.0231
A2R001Q01,90240,25/10/2000,8.127,34.007,1.653,0.06,0.617,0.5178,0.0343
A2R001Q01,90240,25/10/2000,8.276,31.816,1.426,0.1,0.791,0.5472,0.0439
A2R001Q01,90240,08/11/2000,8.963,31.802,1.758,0.057,0.052,0.5023,0.0029
A2R001Q01,90240,08/11/2000,9.065,31.318,1.709,0.047,0.02,0.4966,0.0011
A2R001Q01,90240,08/11/2000,9.042,34.822,1.677,0.065,0.02,0.537,0.0011
A2R001Q01,90240,08/11/2000,8.968,33.627,1.735,0.054,0.058,0.5401,0.0032
A2R001Q01,90240,08/11/2000,8.319,33.021,1.802,0.046,0.147,0.498,0.0082
A2R001Q01,90240,08/11/2000,8.283,33.163,1.747,0.107,0.529,0.5399,0.0294
A2R001Q01,90240,08/11/2000,8.063,32.285,1.295,0.114,0.764,0.4951,0.0424
A2R001Q01,90240,08/11/2000,8.348,30.99,1.148,0.123,0.45,0.4897,0.025
A2R001Q01,90240,22/11/2000,8.255,31.922,1.555,0.065,0.02,0.6239,0.0011
A2R001Q01,90240,22/11/2000,7.981,30.983,1.599,0.113,0.371,0.571,0.0206
A2R001Q01,90240,22/11/2000,8.413,30.98,1.562,0.06,0.02,0.5992,0.0011
A2R001Q01,90240,22/11/2000,8.278,29.195,1.596,0.056,0.02,0.5881,0.0011
A2R001Q01,90240,22/11/2000,8.416,27.597,1.56,0.102,0.143,0.5096,0.0079
A2R001Q01,90240,22/11/2000,8.327,30.407,1.559,0.033,0.069,0.5298,0.0038
A2R001Q01,90240,22/11/2000,8.344,29.232,1.151,0.108,0.786,0.5116,0.0437
A2R001Q01,90240,22/11/2000,8.408,30.286,0.868,0.183,1.082,0.5074,0.0601
A2R001Q01,90240,06/12/2000,9.267,32.281,1.068,0.053,0.02,0.5217,0.0011
A2R001Q01,90240,07/12/2000,7.865,33.671,1.129,0.042,0.351,0.4854,0.0195
A2R001Q01,90240,07/12/2000,7.467,34.66,0.719,0.048,0.02,0.5009,0.0011
A2R001Q01,90240,07/12/2000,8.884,33.659,1.143,0.068,0.02,0.4482,0.0011
A2R001Q01,90240,07/12/2000,8.81,32.764,1.228,0.046,0.072,0.452,0.004
A2R001Q01,90240,07/12/2000,8.147,33.604,1.47,0.087,0.458,0.4435,0.0254
A2R001Q01,90240,07/12/2000,8.187,34.061,1.051,0.108,0.68,0.4556,0.0378
A2R001Q01,90240,07/12/2000,8.154,34.919,0.437,0.028,0.02,0.4528,0.0011
A2R001Q01,90240,20/12/2000,8.598,31.582,0.743,0.076,0.02,0.5675,0.0011
A2R001Q01,90240,20/12/2000,9.111,31.043,0.802,0.103,0.02,0.5248,0.0011
A2R001Q01,90240,20/12/2000,9.161,30.34,0.827,0.061,0.02,0.5771,0.0011
A2R001Q01,90240,20/12/2000,9.052,30.438,0.861,0.06,0.02,0.5176,0.0011
A2R001Q01,90240,20/12/2000,8.832,30.93,0.843,0.069,0.02,0.5611,0.0011
A2R001Q01,90240,20/12/2000,8.298,30.433,1.276,0.089,0.375,0.4809,0.0208
A2R001Q01,90240,20/12/2000,8.368,31.358,0.788,0.117,0.879,0.4985,0.0488
A2R001Q01,90240,20/12/2000,8.352,33.964,0.349,0.257,1.542,0.4784,0.0857
A2R001Q01,90240,04/01/2001,8.687,28.976,1.088,0.055,0.2,0.4744,0.0111
A2R001Q01,90240,04/01/2001,8.293,29.481,0.676,0.107,0.059,0.5789,0.0033
A2R001Q01,90240,04/01/2001,8.752,30.026,1.07,0.049,0.162,0.4343,0.009
A2R001Q01,90240,04/01/2001,8.594,30.108,1.095,0.04,0.207,0.4273,0.0115
A2R001Q01,90240,04/01/2001,8.49,31.035,1.077,0.032,0.199,0.4221,0.0111
A2R001Q01,90240,04/01/2001,8.22,29.854,0.994,0.057,0.458,0.4039,0.0254
A2R001Q01,90240,04/01/2001,8.098,31.475,0.471,0.172,1.273,0.4279,0.0707
A2R001Q01,90240,04/01/2001,7.942,30.529,0.234,0.222,1.673,0.4176,0.0929
A2R001Q01,90240,18/01/2001,9.302,31.992,0.524,0.029,0.075,0.5315,0.0042
A2R001Q01,90240,18/01/2001,9.45,31.51,0.501,0.05,0.02,0.5534,0.0011
A2R001Q01,90240,18/01/2001,9.42,32.548,0.456,0.048,0.051,0.5551,0.0028
A2R001Q01,90240,18/01/2001,9.471,33.142,0.5,0.036,0.02,0.6175,0.0011
A2R001Q01,90240,18/01/2001,9.36,31.615,0.512,0.042,0.046,0.5067,0.0026
A2R001Q01,90240,18/01/2001,8.361,30.626,1.199,0.1,0.346,0.461,0.0192
A2R001Q01,90240,18/01/2001,8.265,32.039,0.498,0.133,0.989,0.465,0.0549
A2R001Q01,90240,18/01/2001,8.242,32.514,0.047,0.289,1.963,0.4427,0.1091
A2R001Q01,90240,31/01/2001,9.239,31.054,0.111,0.023,0.02,0.5507,0.0011
A2R001Q01,90240,31/01/2001,7.946,31.922,0.045,0.237,1.817,0.4268,0.1009
A2R001Q01,90240,31/01/2001,9.595,33.551,0.122,0.042,0.02,0.5331,0.0011
A2R001Q01,90240,31/01/2001,8.563,33.248,0.14,0.036,0.02,0.5163,0.0011
A2R001Q01,90240,31/01/2001,7.51,32.828,0.09,0.012,0.401,0.5647,0.0223
A2R001Q01,90240,31/01/2001,9.367,33.316,0.175,0.044,0.02,0.497,0.0011
A2R001Q01,90240,31/01/2001,8.34,30.984,0.679,0.078,0.495,0.4522,0.0275
A2R001Q01,90240,31/01/2001,8.026,30.803,0.12,0.139,1.131,0.4333,0.0628
A2R001Q01,90240,12/02/2001,8.213,30.168,0.02,0.211,1.863,0.4678,0.1035
A2R001Q01,90240,14/02/2001,8.003,32.455,0.02,0.035,0.02,0.5366,0.0011
A2R001Q01,90240,14/02/2001,7.364,36.723,0.02,0.152,0.279,0.951,0.0155
A2R001Q01,90240,14/02/2001,9.224,32.378,0.02,0.138,0.045,0.5885,0.0025
A2R001Q01,90240,14/02/2001,9.483,32.996,0.02,0.043,0.02,0.5808,0.0011
A2R001Q01,90240,14/02/2001,9.236,32.719,0.069,0.022,0.02,0.4814,0.0011
A2R001Q01,90240,14/02/2001,8.577,31.864,0.653,0.06,0.186,0.5473,0.0103
A2R001Q01,90240,14/02/2001,7.98,30.118,0.02,0.084,0.806,0.5203,0.0448
A2R001Q01,90240,28/02/2001,8.669,33.162,0.379,0.039,0.176,0.5046,0.0098
A2R001Q01,90240,28/02/2001,8.641,32.6,0.395,0.055,0.182,0.5286,0.0101
A2R001Q01,90240,28/02/2001,8.665,32.934,0.377,0.044,0.187,0.5146,0.0104
A2R001Q01,90240,28/02/2001,8.717,32.602,0.367,0.042,0.169,0.5011,0.0094
A2R001Q01,90240,28/02/2001,8.693,32.757,0.368,0.044,0.236,0.5034,0.0131
A2R001Q01,90240,28/02/2001,8.689,33.036,0.364,0.041,0.184,0.5191,0.0102
A2R001Q01,90240,28/02/2001,8.603,32.613,0.38,0.042,0.216,0.5056,0.012
A2R001Q01,90240,28/02/2001,8.205,31.242,0.048,0.259,2.679,0.4106,0.1488
A2R001Q01,90240,14/03/2001,9.4,32.52,0.048,0.05,0.083,0.4727,0.0046
A2R001Q01,90240,14/03/2001,9.307,32.303,0.02,0.042,0.02,0.5189,0.0011
A2R001Q01,90240,14/03/2001,9.292,30.414,0.02,0.049,0.02,0.5549,0.0011
A2R001Q01,90240,14/03/2001,9.237,29.956,0.02,0.044,0.02,0.5369,0.0011
A2R001Q01,90240,14/03/2001,9.248,29.903,0.02,0.043,0.045,0.5407,0.0025
A2R001Q01,90240,14/03/2001,8.875,29.224,0.109,0.046,0.02,0.5349,0.0011
A2R001Q01,90240,14/03/2001,8.136,28.97,0.539,0.127,1.051,0.4872,0.0584
A2R001Q01,90240,14/03/2001,8.173,28.744,0.42,0.191,1.892,0.4281,0.1051
A2R001Q01,90240,28/03/2001,7.91,38.46,0.086,2.555,3.9,0.6163,0.2167
A2R001Q01,90240,28/03/2001,8.995,29.983,1.375,0.318,0.085,0.483,0.0047
A2R001Q01,90240,28/03/2001,9.445,31.533,0.02,0.063,0.02,0.4755,0.0011
A2R001Q01,90240,28/03/2001,9.617,33.203,0.02,0.168,0.02,0.5143,0.0011
A2R001Q01,90240,28/03/2001,9.545,32.034,0.02,0.063,0.02,0.4807,0.0011
A2R001Q01,90240,28/03/2001,9.283,31.233,0.02,0.08,0.02,0.4821,0.0011
A2R001Q01,90240,28/03/2001,9.192,31.331,0.02,0.059,0.02,0.4632,0.0011
A2R001Q01,90240,28/03/2001,8.458,31.532,0.373,0.074,0.33,0.449,0.0183
A2R001Q01,90240,28/03/2001,8.304,31.497,0.748,0.118,0.514,0.417,0.0286
A2R001Q01,90240,28/03/2001,8.272,29.355,1.247,0.198,1.354,0.393,0.0752
A2R001Q01,90240,28/03/2001,8.977,32.242,0.02,0.392,0.822,0.5063,0.0457
A2R001Q01,90240,11/04/2001,8.775,32.471,0.305,0.133,0.183,0.6446,0.0102
A2R001Q01,90240,11/04/2001,8.745,32.262,0.276,0.126,0.162,0.4934,0.009
A2R001Q01,90240,11/04/2001,8.694,33.029,0.279,0.116,0.058,0.4643,0.0032
A2R001Q01,90240,11/04/2001,8.585,32.632,0.261,0.109,0.18,0.4638,0.01
A2R001Q01,90240,11/04/2001,8.674,32.002,0.273,0.107,0.166,0.4763,0.0092
A2R001Q01,90240,11/04/2001,8.518,32.35,0.284,0.102,0.18,0.4446,0.01
A2R001Q01,90240,11/04/2001,8.23,32.297,0.409,0.145,0.682,0.4714,0.0379
A2R001Q01,90240,11/04/2001,8.122,32.403,0.735,0.23,1.507,0.3996,0.0837
A2R001Q01,90240,25/04/2001,8.573,31.759,0.363,0.227,0.02,0.5792,0.0011
A2R001Q01,90240,25/04/2001,8.471,32.324,0.562,0.107,0.123,0.463,0.0068
A2R001Q01,90240,25/04/2001,8.621,35.405,0.445,0.154,0.02,0.5454,0.0011
A2R001Q01,90240,25/04/2001,8.597,33.128,0.445,0.098,0.084,0.5145,0.0047
A2R001Q01,90240,25/04/2001,8.542,33.078,0.451,0.093,0.078,0.46,0.0043
A2R001Q01,90240,25/04/2001,8.459,32.742,0.455,0.091,0.093,0.4431,0.0052
A2R001Q01,90240,25/04/2001,8.407,32.917,0.459,0.106,0.144,0.4312,0.008
A2R001Q01,90240,25/04/2001,8.317,33.162,0.496,0.092,0.258,0.4518,0.0143
A2R001Q01,90240,25/04/2001,8.277,31.993,0.493,0.076,0.202,0.4671,0.0112
A2R001Q01,90240,23/05/2001,8.19,33.104,1.204,0.092,0.044,0.5181,0.0024
A2R001Q01,90240,23/05/2001,8.297,32.658,1.222,0.109,0.02,0.5056,0.0011
A2R001Q01,90240,23/05/2001,8.426,32.467,1.252,0.069,0.02,0.5188,0.0011
A2R001Q01,90240,23/05/2001,8.073,32.181,1.201,0.044,0.02,0.4857,0.0011
A2R001Q01,90240,23/05/2001,8.18,31.824,1.298,0.062,0.046,0.5233,0.0026
A2R001Q01,90240,23/05/2001,8.101,32.615,1.301,0.064,0.02,0.475,0.0011
A2R001Q01,90240,23/05/2001,8.072,32.622,1.339,0.06,0.02,0.4812,0.0011
A2R001Q01,90240,23/05/2001,8.147,32.105,1.412,0.078,0.044,0.4809,0.0024
A2R001Q01,90240,23/05/2001,8.061,35.642,2.505,0.102,0.402,0.5332,0.0223
A2R001Q01,90240,20/06/2001,8.297,39.315,1.6,0.039,0.02,0.5667,0.0011
A2R001Q01,90240,20/06/2001,8.297,36.526,1.623,0.066,0.02,0.5598,0.0011
A2R001Q01,90240,20/06/2001,8.244,35.373,1.621,0.041,0.02,0.5644,0.0011
A2R001Q01,90240,20/06/2001,8.213,37.704,1.389,0.026,0.02,0.569,0.0011
A2R001Q01,90240,20/06/2001,8.257,35.938,1.605,0.023,0.07,0.5682,0.0039
A2R001Q01,90240,20/06/2001,8.287,39.13,1.616,0.038,0.02,0.5598,0.0011
A2R001Q01,90240,20/06/2001,8.177,35.773,1.624,0.038,0.02,0.5774,0.0011
A2R001Q01,90240,20/06/2001,8.254,35.853,1.591,0.044,0.02,0.5583,0.0011
A2R001Q01,90240,04/07/2001,8.418,31.323,1.611,0.037,0.087,0.5291,0.0048
A2R001Q01,90240,04/07/2001,8.296,30.423,1.554,0.037,0.088,0.5282,0.0049
A2R001Q01,90240,04/07/2001,8.326,31.39,1.66,0.029,0.096,0.5171,0.0053
A2R001Q01,90240,04/07/2001,8.302,30.358,1.582,0.023,0.061,0.5199,0.0034
A2R001Q01,90240,04/07/2001,8.286,31.123,1.575,0.015,0.02,0.5236,0.0011
A2R001Q01,90240,04/07/2001,8.263,31.859,1.597,0.046,0.058,0.5374,0.0032
A2R001Q01,90240,04/07/2001,8.215,31.929,1.609,0.025,0.102,0.5384,0.0057
A2R001Q01,90240,04/07/2001,8.222,31.258,1.596,0.03,0.047,0.5218,0.0026
A2R001Q01,90240,18/07/2001,8.427,33.157,1.607,0.036,0.194,0.4971,0.0108
A2R001Q01,90240,18/07/2001,8.434,32.458,1.547,0.037,0.203,0.5094,0.0113
A2R001Q01,90240,18/07/2001,8.479,32.664,1.815,0.053,0.196,0.5178,0.0109
A2R001Q01,90240,18/07/2001,8.502,31.782,1.549,0.035,0.189,0.4924,0.0105
A2R001Q01,90240,18/07/2001,8.477,32.346,1.561,0.038,0.226,0.4945,0.0126
A2R001Q01,90240,18/07/2001,8.513,31.551,1.559,0.033,0.189,0.51,0.0105
A2R001Q01,90240,18/07/2001,8.438,33.241,1.739,0.055,0.02,0.5172,0.0011
A2R001Q01,90240,18/07/2001,8.455,32.882,1.625,0.055,0.201,0.4901,0.0112
A2R001Q01,90240,01/08/2001,8.262,34.238,1.628,0.061,0.303,0.5207,0.0168
A2R001Q01,90240,01/08/2001,8.238,34.669,1.636,0.156,0.249,0.6768,0.0138
A2R001Q01,90240,01/08/2001,8.227,33.803,1.613,0.054,0.253,0.5303,0.0141
A2R001Q01,90240,01/08/2001,8.189,33.165,1.584,0.066,0.247,0.5204,0.0137
A2R001Q01,90240,01/08/2001,8.188,33.064,1.624,0.041,0.239,0.522,0.0133
A2R001Q01,90240,01/08/2001,8.2,33.199,1.579,0.057,0.244,0.517,0.0136
A2R001Q01,90240,01/08/2001,8.256,33.333,1.59,0.038,0.267,0.5179,0.0148
A2R001Q01,90240,01/08/2001,8.242,34.383,1.688,0.071,0.359,0.5438,0.0199
A2R001Q01,90240,15/08/2001,8.285,34.898,1.654,0.034,0.245,0.5631,0.0136
A2R001Q01,90240,15/08/2001,8.298,36.285,1.691,0.039,0.261,0.578,0.0145
A2R001Q01,90240,15/08/2001,8.156,34.503,1.683,0.037,0.285,0.5481,0.0158
A2R001Q01,90240,15/08/2001,8.145,35.223,1.674,0.083,0.293,0.562,0.0163
A2R001Q01,90240,15/08/2001,8.141,35.06,1.694,0.032,0.309,0.5536,0.0172
A2R001Q01,90240,15/08/2001,8.157,34.276,1.673,0.027,0.292,0.5521,0.0162
A2R001Q01,90240,15/08/2001,8.141,34.094,1.67,0.023,0.354,0.5406,0.0197
A2R001Q01,90240,15/08/2001,8.195,36.014,1.575,0.037,0.41,0.527,0.0228
A2R001Q01,90240,05/09/2001,8.302,34.573,1.806,0.049,0.27,0.5118,0.015
A2R001Q01,90240,05/09/2001,8.279,33.329,1.779,0.042,0.282,0.494,0.0157
A2R001Q01,90240,05/09/2001,8.269,36.712,1.77,0.045,0.249,0.56,0.0138
A2R001Q01,90240,05/09/2001,8.263,36.688,1.886,0.054,0.277,0.5008,0.0154
A2R001Q01,90240,05/09/2001,8.237,37.199,1.915,0.046,0.268,0.4949,0.0149
A2R001Q01,90240,05/09/2001,8.217,36.186,1.91,0.04,0.258,0.476,0.0143
A2R001Q01,90240,05/09/2001,8.186,36.705,1.67,0.046,0.388,0.5321,0.0216
A2R001Q01,90240,05/09/2001,8.245,32.495,1.495,0.064,0.591,0.5491,0.0328
A2R001Q01,90240,19/09/2001,8.291,33.175,1.826,0.056,0.394,0.4986,0.0219
A2R001Q01,90240,19/09/2001,8.176,33.882,1.803,0.061,0.357,0.5271,0.0198
A2R001Q01,90240,19/09/2001,8.193,36.694,1.935,0.038,0.311,0.5347,0.0173
A2R001Q01,90240,19/09/2001,8.319,36.192,1.936,0.049,0.325,0.5516,0.0181
A2R001Q01,90240,19/09/2001,8.159,36.516,1.922,0.039,0.338,0.5361,0.0188
A2R001Q01,90240,19/09/2001,8.275,36.04,1.898,0.042,0.02,0.5195,0.0011
A2R001Q01,90240,19/09/2001,8.268,35.937,1.945,0.045,0.02,0.5141,0.0011
A2R001Q01,90240,19/09/2001,8.171,31.945,1.976,0.082,0.579,0.5099,0.0322
A2R001Q01,90240,03/10/2001,8.233,27.913,1.598,0.037,0.205,0.4939,0.0114
A2R001Q01,90240,03/10/2001,8.229,27.632,1.659,0.027,0.233,0.4911,0.0129
A2R001Q01,90240,03/10/2001,8.2,36.748,2.02,0.019,0.042,0.6124,0.0023
A2R001Q01,90240,03/10/2001,8.25,36.708,2.067,0.033,0.227,0.5324,0.0126
A2R001Q01,90240,03/10/2001,8.216,27.725,1.57,0.026,0.194,0.475,0.0108
A2R001Q01,90240,07/11/2001,8.562,33.488,2.064,0.05,0.207,0.5841,0.0115
A2R001Q01,90240,07/11/2001,8.421,35.291,2.14,0.038,0.173,0.5196,0.0096
A2R001Q01,90240,07/11/2001,8.447,32.262,2.094,0.047,0.176,0.5825,0.0098
A2R001Q01,90240,07/11/2001,7.796,33.153,2.004,0.026,0.056,0.5134,0.0031
A2R001Q01,90240,07/11/2001,8.397,33.29,2.101,0.028,0.197,0.5135,0.0109
A2R001Q01,90240,07/11/2001,8.368,32.462,1.993,0.095,0.368,0.5779,0.0204
A2R001Q01,90240,07/11/2001,8.376,31.518,1.762,0.113,0.423,0.5783,0.0235
A2R001Q01,90240,07/11/2001,8.23,30.587,1.492,0.14,0.509,0.5331,0.0283
A2R001Q01,90240,21/11/2001,8.406,29.891,2.193,0.041,0.044,0.4492,0.0024
A2R001Q01,90240,21/11/2001,8.19,29.882,2.219,0.056,0.02,0.4958,0.0011
A2R001Q01,90240,21/11/2001,8.435,35.202,2.307,0.055,0.02,0.5072,0.0011
A2R001Q01,90240,21/11/2001,8.304,38.001,2.296,0.035,0.045,0.4542,0.0025
A2R001Q01,90240,21/11/2001,8.423,37.446,2.295,0.038,0.085,0.4688,0.0047
A2R001Q01,90240,21/11/2001,8.247,36.362,2.557,0.095,0.088,0.4541,0.0049
A2R001Q01,90240,21/11/2001,8.38,37.821,1.625,0.104,0.528,0.4728,0.0293
A2R001Q01,90240,21/11/2001,8.264,30.498,1.78,0.098,0.469,0.4273,0.0261
A2R001Q01,90240,05/12/2001,8.171,32.802,1.9,0.014,0.02,0.5129,0.0011
A2R001Q01,90240,05/12/2001,8.407,32.689,2.134,0.026,0.041,0.5122,0.0023
A2R001Q01,90240,05/12/2001,8.298,33.824,2.268,0.033,0.048,0.4866,0.0027
A2R001Q01,90240,05/12/2001,8.386,33.702,2.572,0.036,0.02,0.5073,0.0011
A2R001Q01,90240,05/12/2001,8.323,33.747,2.122,0.044,0.02,0.4854,0.0011
A2R001Q01,90240,05/12/2001,8.211,34.744,3.486,0.087,0.114,0.4815,0.0063
A2R001Q01,90240,05/12/2001,8.061,33.729,1.546,0.139,0.523,0.4811,0.0291
A2R001Q01,90240,05/12/2001,8.105,35.013,1.43,0.2,0.965,0.5231,0.0536
A2R001Q01,90240,16/01/2002,8.39,35.634,1.07,0.034,0.02,0.5035,0.0011
A2R001Q01,90240,16/01/2002,8.865,35.111,1.019,0.028,0.02,0.4809,0.0011
A2R001Q01,90240,16/01/2002,8.597,35.078,1.06,0.045,0.071,0.4967,0.0039
A2R001Q01,90240,16/01/2002,8.453,37.135,1.065,0.041,0.051,0.5156,0.0028
A2R001Q01,90240,16/01/2002,8.775,35.054,1.094,0.021,0.02,0.4869,0.0011
A2R001Q01,90240,16/01/2002,8.13,27.127,1.297,0.083,0.194,0.4969,0.0108
A2R001Q01,90240,16/01/2002,8.28,34.971,0.895,0.124,0.744,0.4657,0.0413
A2R001Q01,90240,16/01/2002,8.214,35.46,0.397,0.17,1.222,0.4568,0.0679
A2R001Q01,90240,30/01/2002,8.191,32.672,1.1,0.014,0.02,0.5107,0.0011
A2R001Q01,90240,30/01/2002,8.28,37.063,1.074,0.023,0.02,0.5466,0.0011
A2R001Q01,90240,30/01/2002,8.156,36.815,1.035,0.018,0.02,0.4868,0.0011
A2R001Q01,90240,30/01/2002,8.344,33.129,1.103,0.029,0.041,0.4925,0.0023
A2R001Q01,90240,30/01/2002,8.384,36.619,1.097,0.022,0.042,0.5429,0.0023
A2R001Q01,90240,30/01/2002,8.219,35.585,1.194,0.035,0.32,0.5307,0.0178
A2R001Q01,90240,30/01/2002,8.31,35.606,0.818,0.113,0.635,0.5142,0.0353
A2R001Q01,90240,30/01/2002,8.473,36.331,0.216,0.265,1.349,0.503,0.0749
A2R001Q01,90240,06/02/2002,8.086,38.58,0.885,0.019,0.082,0.5709,0.0046
A2R001Q01,90240,06/02/2002,8.385,38.457,0.817,0.028,0.065,0.5695,0.0036
A2R001Q01,90240,06/02/2002,8.257,35.426,0.9,0.03,0.151,0.5289,0.0084
A2R001Q01,90240,06/02/2002,8.212,35.118,0.906,0.025,0.081,0.4939,0.0045
A2R001Q01,90240,06/02/2002,8.2,35.207,1.091,0.021,0.156,0.4966,0.0087
A2R001Q01,90240,06/02/2002,8.267,36.15,1.044,0.061,0.351,0.5261,0.0195
A2R001Q01,90240,06/02/2002,8.282,35.795,0.581,0.085,0.724,0.5049,0.0402
A2R001Q01,90240,06/02/2002,8.336,37.301,0.184,0.243,1.273,0.5,0.0707
A2R001Q01,90240,20/02/2002,7.958,38.145,0.663,0.022,0.02,0.5133,0.0011
A2R001Q01,90240,20/02/2002,8.988,37.571,0.565,0.044,0.02,0.5278,0.0011
A2R001Q01,90240,20/02/2002,8.573,38.949,0.672,0.049,0.02,0.5019,0.0011
A2R001Q01,90240,20/02/2002,8.278,39.709,0.843,0.032,0.089,0.4857,0.0049
A2R001Q01,90240,20/02/2002,8.309,36.34,0.857,0.032,0.076,0.4878,0.0042
A2R001Q01,90240,20/02/2002,8.2,36.028,0.84,0.026,0.101,0.4849,0.0056
A2R001Q01,90240,20/02/2002,7.98,36.065,0.433,0.067,0.607,0.4568,0.0337
A2R001Q01,90240,20/02/2002,8.021,35.022,0.062,0.288,1.578,0.4072,0.0877
A2R001Q01,90240,06/03/2002,8.536,36.474,0.453,0.035,0.045,0.5145,0.0025
A2R001Q01,90240,06/03/2002,7.995,39.789,0.364,0.131,0.754,0.6395,0.0419
A2R001Q01,90240,06/03/2002,8.102,35.061,0.424,0.023,0.02,0.5323,0.0011
A2R001Q01,90240,06/03/2002,8.519,33.781,0.381,0.024,0.101,0.5215,0.0056
A2R001Q01,90240,06/03/2002,8.053,33.117,0.876,0.042,0.306,0.4855,0.017
A2R001Q01,90240,06/03/2002,8.293,33.973,0.454,0.016,0.02,0.5049,0.0011
A2R001Q01,90240,06/03/2002,8.205,32.821,0.711,0.08,0.604,0.4752,0.0336
A2R001Q01,90240,06/03/2002,8,33.108,0.086,0.273,1.653,0.4268,0.0918
A2R001Q01,90240,20/03/2002,9.461,38.787,0.197,0.111,0.104,0.5436,0.0058
A2R001Q01,90240,20/03/2002,9.245,37.988,0.176,0.014,1.009,0.5415,0.0561
A2R001Q01,90240,20/03/2002,9.485,36.321,0.145,0.021,0.02,0.4917,0.0011
A2R001Q01,90240,20/03/2002,9.471,34.396,0.186,0.019,0.02,0.495,0.0011
A2R001Q01,90240,20/03/2002,9.072,35.357,0.337,0.013,0.02,0.4778,0.0011
A2R001Q01,90240,20/03/2002,8.137,37.515,1.158,0.034,0.133,0.513,0.0074
A2R001Q01,90240,20/03/2002,8.026,36.111,0.824,0.078,0.444,0.3011,0.0247
A2R001Q01,90240,20/03/2002,8.165,37.549,0.086,0.248,1.666,0.4424,0.0926
A2R001Q01,90240,04/04/2002,8.849,39.806,0.268,0.029,0.063,0.5519,0.0035
A2R001Q01,90240,04/04/2002,7.726,41.82,0.164,0.223,1.516,0.5889,0.0842
A2R001Q01,90240,04/04/2002,8.918,40.73,0.247,0.03,0.057,0.5565,0.0032
A2R001Q01,90240,04/04/2002,8.784,40.837,0.245,0.029,0.087,0.5369,0.0048
A2R001Q01,90240,04/04/2002,8.875,37.327,0.24,0.033,0.02,0.35,0.0011
A2R001Q01,90240,04/04/2002,8.208,36.682,0.297,0.105,0.259,0.328,0.0144
A2R001Q01,90240,04/04/2002,8.167,40.338,0.302,0.147,1.155,0.4814,0.0642
A2R001Q01,90240,17/04/2002,8.14,37.455,0.285,0.042,0.379,0.4964,0.0211
A2R001Q01,90240,17/04/2002,7.97,39.206,0.301,0.083,0.495,0.5449,0.0275
A2R001Q01,90240,17/04/2002,8.121,37.416,0.295,0.023,0.332,0.5747,0.0184
A2R001Q01,90240,17/04/2002,8.212,37.238,0.287,0.025,0.343,0.5139,0.0191
A2R001Q01,90240,17/04/2002,8.198,36.974,0.301,0.031,0.364,0.5339,0.0202
A2R001Q01,90240,17/04/2002,8.025,37.759,0.292,0.014,0.02,0.556,0.0011
A2R001Q01,90240,17/04/2002,7.777,36.061,0.175,0.012,0.02,0.5127,0.0011
A2R001Q01,90240,17/04/2002,7.829,37.184,0.294,0.02,0.069,0.4922,0.0038
A2R001Q01,90240,08/05/2002,8.266,38.238,0.474,0.075,0.528,0.5695,0.0293
A2R001Q01,90240,08/05/2002,8.279,36.474,0.525,0.053,0.509,0.4796,0.0283
A2R001Q01,90240,08/05/2002,8.279,38.891,0.494,0.055,0.512,0.52,0.0284
A2R001Q01,90240,08/05/2002,7.979,39.061,0.47,0.056,0.516,0.529,0.0287
A2R001Q01,90240,08/05/2002,8.229,38.228,0.482,0.052,0.507,0.5696,0.0282
A2R001Q01,90240,08/05/2002,8.157,38.141,0.486,0.044,0.398,0.5328,0.0221
A2R001Q01,90240,08/05/2002,8.348,36.468,0.537,0.09,0.321,0.4773,0.0178
A2R001Q01,90240,08/05/2002,8.192,38.116,0.477,0.034,0.266,0.5593,0.0148
A2R001Q01,90240,22/05/2002,8.274,41.488,0.632,0.025,0.298,0.4632,0.0166
A2R001Q01,90240,22/05/2002,8.253,41.163,0.642,0.021,0.281,0.4466,0.0156
A2R001Q01,90240,22/05/2002,8.278,37.808,0.631,0.024,0.333,0.4832,0.0185
A2R001Q01,90240,22/05/2002,8.25,37.528,0.655,0.022,0.33,0.4773,0.0183
A2R001Q01,90240,22/05/2002,8.234,36.946,0.64,0.022,0.344,0.4471,0.0191
A2R001Q01,90240,22/05/2002,8.173,38.727,0.649,0.036,0.35,0.4617,0.0194
A2R001Q01,90240,22/05/2002,8.217,36.869,0.638,0.022,0.359,0.4939,0.0199
A2R001Q01,90240,22/05/2002,8.098,42.367,1.001,0.04,0.468,0.4875,0.026
A2R001Q01,90240,05/06/2002,8.212,36.674,0.8,0.014,0.3,0.5056,0.0167
A2R001Q01,90240,05/06/2002,8.218,36.974,0.835,0.018,0.341,0.5226,0.0189
A2R001Q01,90240,05/06/2002,8.244,36.276,0.817,0.017,0.309,0.5507,0.0172
A2R001Q01,90240,05/06/2002,8.256,37.522,0.749,0.062,0.325,0.5206,0.0181
A2R001Q01,90240,05/06/2002,8.221,35.819,0.794,0.029,0.302,0.5617,0.0168
A2R001Q01,90240,05/06/2002,8.276,36.019,0.804,0.037,0.313,0.5497,0.0174
